StationName,DataSource,Elevation,Latitude,Longitude,Month,Day,Year,MaxAirTemp,MinAirTemp,AvgAirTemp,Precip,AccumPrecip,Snowdepth
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,20,2010,8.6,0,3.7,0,696,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,21,2010,10.3,-0.4,3.3,0,696,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,22,2010,4.2,-5.7,-2.3,8,696,1650
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,23,2010,-2.6,-6.2,-4.3,5,704,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,24,2010,1.2,-7.7,-3.2,3,709,1780
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,25,2010,2.9,-6.1,-1.7,0,711,1700
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,26,2010,2,-9,-2.8,0,711,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,27,2010,7.7,-4.7,2.9,0,711,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,28,2010,6.5,-5.4,1.7,0,711,1650
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,29,2010,-4.1,-11.4,-8.6,3,711,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,4,30,2010,-3.2,-10.6,-7.5,13,714,1780
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,1,2010,-1.1,-9,-6.1,10,726,1850
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,2,2010,-2,-10.4,-5.8,3,737,1900
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,3,2010,2.8,-8.9,-2.3,0,739,1880
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,4,2010,6,-2.3,0.7,3,739,1780
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,5,2010,8.8,-2.3,3.9,0,742,1780
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,6,2010,4.1,-10.1,-2.4,3,742,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,7,2010,2.5,-13.6,-4.8,0,744,1700
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,8,2010,6.7,-4.4,2.2,3,744,1700
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,9,2010,9.6,-1.3,4.8,0,747,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,10,2010,2.5,-3.8,0.1,3,747,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,11,2010,4.8,-8.4,-1,5,749,1750
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,12,2010,2.8,-9.4,-4.2,8,754,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,13,2010,2.5,-8.2,-2.4,5,762,1730
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,14,2010,7,-5.6,-0.1,3,767,1780
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,15,2010,2.8,-2.6,-0.5,5,770,1700
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,16,2010,8.1,-2.6,2.4,0,775,1650
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,17,2010,12.1,-0.4,6,3,775,1570
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,18,2010,8.6,-1,2.7,0,777,1650
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,19,2010,2.3,-1.2,0.5,23,777,1570
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,20,2010,9,-2.3,4,0,800,1680
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,21,2010,11.8,1.6,7.6,0,800,1570
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,22,2010,7.3,0.6,4.6,0,800,1650
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,23,2010,10.5,0.4,5.4,0,800,1600
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,24,2010,1.1,-6.9,-2.7,15,800,1570
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,25,2010,8.2,-7.6,2.2,3,815,1750
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,26,2010,12.6,0.3,7.1,0,818,1630
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,27,2010,14,4.3,9.6,0,818,1570
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,28,2010,14.8,5.1,10.5,0,818,1500
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,29,2010,9.3,-3,5,0,818,1450
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,30,2010,8.3,-5.2,3,0,818,1370
BisonLake,SNOTEL,3316.224,39.76487,107.35681,5,31,2010,11.4,1.5,6.5,0,818,1350
